match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls,match_id
England Vs Afghanistan,Afghanistan,Fazalhaq Farooqi,4,0,24,1,6.00,15,2,1,3,0,T20I # 1840
England Vs Afghanistan,Afghanistan,Azmatullah Omarzai,1.1,0,11,0,9.42,2,1,0,3,0,T20I # 1840
England Vs Afghanistan,Afghanistan,Mujeeb Ur Rahman,4,0,22,1,5.50,10,1,0,0,0,T20I # 1840
England Vs Afghanistan,Afghanistan,Rashid Khan,4,0,17,1,4.25,10,0,0,0,0,T20I # 1840
England Vs Afghanistan,Afghanistan,Fareed Ahmad,2,0,23,1,11.50,2,2,0,1,0,T20I # 1840
England Vs Afghanistan,Afghanistan,Mohammad Nabi,3,0,16,1,5.33,6,0,0,0,0,T20I # 1840
Sri Lanka Vs Ireland,Sri Lanka,Binura Fernando,4,0,27,1,6.75,10,3,0,1,0,T20I # 1841
Sri Lanka Vs Ireland,Sri Lanka,Lahiru Kumara,2,0,12,1,6.00,6,2,0,0,0,T20I # 1841
Sri Lanka Vs Ireland,Sri Lanka,Maheesh Theekshana,4,0,19,2,4.75,8,1,0,0,0,T20I # 1841
Sri Lanka Vs Ireland,Sri Lanka,Chamika Karunaratne,4,0,29,1,7.25,7,2,1,0,0,T20I # 1841
Sri Lanka Vs Ireland,Sri Lanka,Wanindu Hasaranga,4,0,25,2,6.25,6,0,1,0,0,T20I # 1841
Sri Lanka Vs Ireland,Sri Lanka,Dhananjaya de Silva,2,0,13,1,6.50,3,1,0,0,0,T20I # 1841
Sri Lanka Vs Ireland,Ireland,Josh Little,4,0,45,0,11.25,5,4,1,1,0,T20I # 1841
Sri Lanka Vs Ireland,Ireland,Mark Adair,2,0,16,0,8.00,2,1,0,0,0,T20I # 1841
Sri Lanka Vs Ireland,Ireland,Barry McCarthy,2,0,16,0,8.00,4,0,1,0,0,T20I # 1841
Sri Lanka Vs Ireland,Ireland,Gareth Delany,4,0,28,1,7.00,8,3,0,2,0,T20I # 1841
Sri Lanka Vs Ireland,Ireland,Curtis Campher,1,0,8,0,8.00,2,1,0,0,0,T20I # 1841
Sri Lanka Vs Ireland,Ireland,Simi Singh,2,0,20,0,10.00,3,0,2,0,0,T20I # 1841
India Vs Pakistan,India,Bhuvneshwar Kumar,4,0,22,1,5.50,17,1,1,3,0,T20I # 1842
India Vs Pakistan,India,Arshdeep Singh,4,0,32,3,8.00,10,3,1,1,0,T20I # 1842
India Vs Pakistan,India,Mohammed Shami,4,0,25,1,6.25,14,4,0,1,0,T20I # 1842
